Buy-to-Detail Rate,Campaign,City,Country,Date,Goal Completions,Goal Value,Quantity,Pageviews,Sessions,Time on Page,Revenue,Transactions,Age,Gender,User Type,Users
0,,Amsterdam,Netherlands,11/17/2016,0,0,0,17,10,458,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,11/21/2016,0,0,0,24,13,415,0,0,25-34,female,New Visitor,13
0,,Amsterdam,Netherlands,11/29/2016,0,0,0,33,11,776,0,0,25-34,male,New Visitor,11
0,,Amsterdam,Netherlands,12/6/2016,0,0,0,41,10,1617,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,12/19/2016,0,0,0,26,11,410,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,1/17/2017,0,0,0,22,10,1080,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,3/7/2017,0,0,0,42,15,766,0,0,25-34,male,New Visitor,15
0,,Amsterdam,Netherlands,4/10/2017,0,0,0,48,10,2364,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,4/20/2017,0,0,0,32,11,638,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,5/9/2017,5,0,23,92,10,2829,125.940002441,2,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,6/14/2017,0,0,0,18,10,1985,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,6/20/2017,0,0,0,18,10,105,0,0,25-34,male,New Visitor,10
0,,Amsterdam,Netherlands,7/3/2017,2,0,30,54,10,2551,538.330017090,1,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,7/4/2017,1,0,0,114,11,3301,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,7/18/2017,0,0,0,26,10,1553,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,8/10/2017,0,0,0,40,11,1060,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,8/17/2017,3,0,1,27,10,231,26.899999619,1,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,9/5/2017,1,0,0,27,10,871,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,9/6/2017,0,0,0,48,11,1792,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,9/11/2017,0,0,0,49,12,963,0,0,25-34,female,New Visitor,12
0,,Amsterdam,Netherlands,9/21/2017,0,0,0,22,12,326,0,0,25-34,female,New Visitor,12
0,,Amsterdam,Netherlands,9/25/2017,0,0,0,66,11,856,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,9/27/2017,3,0,5,49,10,1158,70.360000610,1,35-44,male,New Visitor,10
0,,Amsterdam,Netherlands,9/28/2017,0,0,0,33,12,1556,0,0,25-34,female,New Visitor,12
0,,Amsterdam,Netherlands,10/6/2017,3,0,1,42,10,1315,39.349998474,1,25-34,male,New Visitor,10
0,,Amsterdam,Netherlands,10/18/2017,0,0,0,24,11,2341,0,0,25-34,male,New Visitor,11
0,,Amsterdam,Netherlands,11/14/2017,0,0,0,72,23,1169,0,0,25-34,female,New Visitor,23
0,,Amsterdam,Netherlands,11/14/2017,0,0,0,25,16,1448,0,0,25-34,male,New Visitor,16
0,,Amsterdam,Netherlands,11/14/2017,0,0,0,61,13,902,0,0,35-44,female,New Visitor,13
0,,Amsterdam,Netherlands,11/14/2017,0,0,0,40,13,516,0,0,35-44,male,New Visitor,13
0,,Amsterdam,Netherlands,11/29/2017,2,0,8,41,11,3621,33.619998932,1,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,12/19/2017,2,0,0,52,11,923,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,1/7/2018,0,0,0,17,12,1514,0,0,25-34,male,New Visitor,12
0,,Amsterdam,Netherlands,1/9/2018,1,0,0,42,11,1541,0,0,25-34,female,New Visitor,11
0,,Amsterdam,Netherlands,3/8/2018,3,0,0,21,10,512,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,3/15/2018,0,0,0,15,11,49,0,0,25-34,male,New Visitor,11
0,,Amsterdam,Netherlands,3/20/2018,0,0,0,15,10,769,0,0,25-34,female,New Visitor,10
0,,Amsterdam,Netherlands,4/18/2018,0,0,0,15,11,145,0,0,25-34,female,New Visitor,11
0,,Eindhoven,Netherlands,10/9/2017,1,0,0,303,15,17173,0,0,18-24,female,New Visitor,15
